Date,Product,UnitsSold
2024-03-30,Product B,32
2024-03-31,Product B,40
2024-04-01,Product B,17
2024-04-02,Product B,28
2024-04-03,Product B,31
2024-04-04,Product B,36
2024-04-05,Product B,29
2024-04-06,Product B,37
2024-04-07,Product B,29
2024-04-08,Product B,43
2024-04-09,Product B,25
2024-04-10,Product B,32
2024-04-11,Product B,22
2024-04-12,Product B,30
2024-04-13,Product B,30
2024-04-14,Product B,31
2024-04-15,Product B,37
2024-04-16,Product B,23
2024-04-17,Product B,34
2024-04-18,Product B,33
2024-04-19,Product B,23
2024-04-20,Product B,27
2024-04-21,Product B,28
2024-04-22,Product B,39
2024-04-23,Product B,30
2024-04-24,Product B,28
2024-04-25,Product B,30
2024-04-26,Product B,30
2024-04-27,Product B,32
2024-04-28,Product B,20
2024-04-29,Product B,23
